x,y,z
0.00,0.00,0.00
10.00,0.00,0.00
20.00,0.00,0.00
30.00,0.00,0.00
40.00,0.00,0.00
50.00,0.00,0.00
60.00,0.00,0.00
70.00,0.00,0.00
80.00,0.00,0.00
83.88,0.51,0.00
87.50,2.01,0.00
90.61,4.39,0.00
92.99,7.50,0.00
94.49,11.12,0.00
95.00,15.00,0.00
95.00,18.88,0.51
95.00,22.50,2.01
95.00,25.61,4.39
95.00,27.99,7.50
95.00,29.49,11.12
95.00,30.00,15.00
95.00,29.49,18.88
95.00,27.99,22.50
95.00,22.99,31.16
95.00,17.99,39.82
95.00,12.99,48.48
94.49,11.05,51.84
92.99,9.24,54.98
90.61,7.69,57.67
87.50,6.50,59.73
83.88,5.75,61.03
80.00,5.49,61.47
70.00,5.49,61.47
60.00,5.49,61.47
56.12,5.75,61.03
52.50,6.50,59.73
49.39,7.69,57.67
47.01,9.24,54.98
45.51,11.05,51.84
45.00,12.99,48.48
45.00,17.99,39.82
45.00,22.99,31.16
45.00,27.99,22.50
45.00,32.99,13.84
45.00,37.99,5.18
45.00,42.99,-3.48
45.00,47.99,-12.14
45.00,52.99,-20.80
45.00,57.99,-29.46
45.51,59.93,-32.82
47.01,61.74,-35.96
49.39,63.29,-38.65
52.50,64.49,-40.71
56.12,65.23,-42.01
60.00,65.49,-42.45
70.00,65.49,-42.45
80.00,65.49,-42.45
90.00,65.49,-42.45
100.00,65.49,-42.45
110.00,65.49,-42.45
120.00,65.49,-42.45
130.00,65.49,-42.45
133.88,64.98,-42.45
137.50,63.48,-42.45
140.61,61.10,-42.45
142.99,57.99,-42.45
144.49,54.37,-42.45
145.00,50.49,-42.45
145.00,40.49,-42.45
145.00,30.49,-42.45
145.00,20.49,-42.45
145.00,10.49,-42.45
145.00,0.49,-42.45
145.00,-9.51,-42.45
145.00,-19.51,-42.45
145.00,-29.51,-42.45
145.00,-39.51,-42.45
145.00,-49.51,-42.45
145.00,-59.51,-42.45
145.00,-69.51,-42.45
145.00,-79.51,-42.45
145.00,-89.51,-42.45
145.00,-99.51,-42.45
145.00,-109.51,-42.45
145.00,-119.51,-42.45
145.00,-129.51,-42.45
145.00,-139.51,-42.45
144.74,-143.39,-42.01
144.00,-147.01,-40.71
142.80,-150.12,-38.65
141.25,-152.50,-35.96
139.44,-154.00,-32.82
137.50,-154.51,-29.46
135.56,-154.00,-26.10
133.75,-152.50,-22.97
132.20,-150.12,-20.28
131.00,-147.01,-18.21
130.26,-143.39,-16.91
130.00,-139.51,-16.47
130.00,-129.51,-16.47
130.00,-119.51,-16.47
130.00,-109.51,-16.47
130.00,-99.51,-16.47
130.00,-89.51,-16.47
130.00,-79.51,-16.47
130.00,-69.51,-16.47
130.00,-59.51,-16.47
130.00,-49.51,-16.47
130.00,-39.51,-16.47
130.00,-29.51,-16.47
130.00,-19.51,-16.47
130.00,-9.51,-16.47
130.00,0.49,-16.47
130.00,10.49,-16.47
130.00,20.49,-16.47
130.00,30.49,-16.47
130.00,40.49,-16.47
130.00,50.49,-16.47
130.00,60.49,-16.47
130.00,70.49,-16.47
130.26,74.37,-16.91
131.00,77.99,-18.21
132.20,81.10,-20.28
133.75,83.48,-22.97
135.56,84.98,-26.10
137.50,85.49,-29.46
142.50,85.49,-38.12
147.50,85.49,-46.78
152.50,85.49,-55.44
157.50,85.49,-64.10
159.44,84.98,-67.46
161.25,83.48,-70.60
162.80,81.10,-73.29
164.00,77.99,-75.35
164.74,74.37,-76.65
165.00,70.49,-77.09
164.74,66.61,-76.65
164.00,62.99,-75.35
162.80,59.88,-73.29
161.25,57.50,-70.60
159.44,56.00,-67.46
157.50,55.49,-64.10
